yojijukugo,reading,link
寡廉鮮恥,かれんせんち,https://www.kanjipedia.jp//kotoba/0000712100
苛斂誅求,かれんちゅうきゅう,https://www.kanjipedia.jp//kotoba/0000665900
夏炉冬扇,かろとうせん,https://www.kanjipedia.jp//kotoba/0000673800
閑雲野鶴,かんうんやかく,https://www.kanjipedia.jp//kotoba/0001089300
檻猿籠鳥,かんえんろうちょう,https://www.kanjipedia.jp//kotoba/0001134500
感慨無量,かんがいむりょう,https://www.kanjipedia.jp//kotoba/0001096700
鰥寡孤独,かんかこどく,https://www.kanjipedia.jp//kotoba/0001147400
轗軻不遇,かんかふぐう,https://www.kanjipedia.jp//kotoba/0001143800
侃侃諤諤,かんかんがくがく,https://www.kanjipedia.jp//kotoba/0001034200
観感興起,かんかんこうき,https://www.kanjipedia.jp//kotoba/0001137900
官官接待,かんかんせったい,https://www.kanjipedia.jp//kotoba/0001036600
緩急自在,かんきゅうじざい,https://www.kanjipedia.jp//kotoba/0001117400
汗牛充棟,かんぎゅうじゅうとう,https://www.kanjipedia.jp//kotoba/0001024300
管窺蠡測,かんきれいそく,https://www.kanjipedia.jp//kotoba/0001106100
甘言蜜語,かんげんみつご,https://www.kanjipedia.jp//kotoba/0001019400
頑固一徹,がんこいってつ,https://www.kanjipedia.jp//kotoba/0001166700
眼光炯炯,がんこうけいけい,https://www.kanjipedia.jp//kotoba/0001161600
顔厚忸怩,がんこうじくじ,https://www.kanjipedia.jp//kotoba/0001171000
眼高手低,がんこうしゅてい,https://www.kanjipedia.jp//kotoba/0001161800
寒江独釣,かんこうどくちょう,https://www.kanjipedia.jp//kotoba/0001072500
換骨奪胎,かんこつだったい,https://www.kanjipedia.jp//kotoba/0001077700
冠婚葬祭,カンコンソウサイ,https://www.kanjipedia.jp//kotoba/0001040900
気韻生動,きいんせいどう,https://www.kanjipedia.jp//kotoba/0001186200
気宇壮大,きうそうだい,https://www.kanjipedia.jp//kotoba/0001186400
帰依三宝,きえさんぽう,https://www.kanjipedia.jp//kotoba/0001216000
気炎万丈,きえんばんじょう,https://www.kanjipedia.jp//kotoba/0001186900
祇園精舎,ぎおんしょうじゃ,https://www.kanjipedia.jp//kotoba/0001304100
奇怪千万,きかいせんばん,https://www.kanjipedia.jp//kotoba/0001202800
危機一髪,キキイッパツ,https://www.kanjipedia.jp//kotoba/0001182600
奇奇怪怪,ききかいかい,https://www.kanjipedia.jp//kotoba/0001203100
規矩準縄,きくじゅんじょう,https://www.kanjipedia.jp//kotoba/0001242700
危言危行,きげんきこう,https://www.kanjipedia.jp//kotoba/0001183200
貴顕紳士,きけんしんし,https://www.kanjipedia.jp//kotoba/0001257600
